amendment	tme	plant_id	leaflength	leafwidth	WW	LW	leafarea	leaf_count
BSF	14	1	1.9	1.2	1.44	2.28	2.40	3
BSF	14	2	2.4	1.8	3.24	4.32	4.56	4
BSF	14	3	2	1.4	1.96	2.8	3.05	2
BSF	14	4	2	1.7	2.89	3.4	4.15	3
BSF	14	5	2.2	2.2	4.84	4.84	6.35	3
BSF	14	6	2.8	2.7	7.29	7.56	8.99	3
BSF	14	7	3.5	2.5	6.25	8.75	7.88	3
BSF	14	8	2.5	2	4	5	5.42	4
BSF	14	9	2.7	1.9	3.61	5.13	4.98	3
BSF	14	10	2.8	2.1	4.41	5.88	5.88	3
BSF	14	11	2.2	1.3	1.69	2.86	2.72	2
BSF	14	12	NA	NA	NA	NA	NA	NA
BSF	21	1	2	1.6	2.56	3.2	3.77	3
BSF	21	2	4.1	2.9	8.41	11.89	10.17	5
BSF	21	3	3.1	2.1	4.41	6.51	5.88	7
BSF	21	4	4.3	2.7	7.29	11.61	8.99	4
BSF	21	5	4.4	3.5	12.25	15.4	14.14	5
BSF	21	6	4.5	4.3	18.49	19.35	20.43	5
BSF	21	7	5.2	4.1	16.81	21.32	18.75	5
BSF	21	8	6.6	4.6	21.16	30.36	23.08	5
BSF	21	9	4.1	3	9	12.3	10.79	6
BSF	21	10	4.6	3.4	11.56	15.64	13.44	4
BSF	21	11	5.3	4.2	17.64	22.26	19.58	5
BSF	21	12	3.7	2.3	5.29	8.51	6.84	4
BSF	28	1	3.3	2.8	7.84	9.24	9.57	4
BSF	28	2	7.3	4.4	19.36	32.12	21.29	5
BSF	28	3	7.3	4.7	22.09	34.31	24.00	9
BSF	28	4	6.5	4.5	20.25	29.25	22.18	6
BSF	28	5	6.9	5.5	30.25	37.95	31.99	6
BSF	28	6	7	5.1	26.01	35.7	27.85	6
BSF	28	7	8.2	5.3	28.09	43.46	29.88	6
BSF	28	8	9.8	6.2	38.44	60.76	39.91	6
BSF	28	9	7.2	4.3	18.49	30.96	20.43	7
BSF	28	10	7.5	4.7	22.09	35.25	24.00	6
BSF	28	11	6.1	5.1	26.01	31.11	27.85	6
BSF	28	12	7	4.1	16.81	28.7	18.75	6
BSF	35	1	5	3.4	11.56	17	13.44	6
BSF	35	2	9.3	5	25	46.5	26.86	7
BSF	35	3	10.7	5.3	28.09	56.71	29.88	15
BSF	35	4	9.6	5.2	27.04	49.92	28.86	8
BSF	35	5	7.2	5.6	31.36	40.32	33.06	8
BSF	35	6	8	5.5	30.25	44	31.99	9
BSF	35	7	9.8	5.1	26.01	49.98	27.85	6
BSF	35	8	11.3	6.4	40.96	72.32	42.33	7
BSF	35	9	7.3	5	25	36.5	26.86	10
BSF	35	10	8.5	5.4	29.16	45.9	30.92	7
BSF	35	11	8.3	5.5	30.25	45.65	31.99	8
BSF	35	12	7.6	4.5	20.25	34.2	22.18	8
CON	14	1	2.7	2.1	4.41	5.67	5.88	3
CON	14	2	1.9	2.1	4.41	3.99	5.88	2
CON	14	3	2.5	2	4	5	5.42	3
CON	14	4	1.6	1.3	1.69	2.08	2.72	2
CON	14	5	2.7	1.9	3.61	5.13	4.98	4
CON	14	6	2.2	1.9	3.61	4.18	4.98	3
CON	14	7	2.3	1.4	1.96	3.22	3.05	3
CON	14	8	3.3	2.1	4.41	6.93	5.88	2
CON	14	9	3	2.2	4.84	6.6	6.35	2
CON	14	10	NA	NA	NA	NA	NA	4
CON	14	11	NA	NA	NA	NA	NA	3
CON	14	12	NA	NA	NA	NA	NA	NA
CON	21	1	5.4	4.4	19.36	23.76	21.29	5
CON	21	2	5.8	4.1	16.81	23.78	18.75	4
CON	21	3	5.6	3.9	15.21	21.84	17.14	5
CON	21	4	1.9	1.6	2.56	3.04	3.77	3
CON	21	5	4	3.1	9.61	12.4	11.43	5
CON	21	6	5.2	3.8	14.44	19.76	16.37	4
CON	21	7	4.2	3.1	9.61	13.02	11.43	6
CON	21	8	2.1	1.7	2.89	3.57	4.15	2
CON	21	9	6	3.5	12.25	21	14.14	3
CON	21	10	4.6	3	9	13.8	10.79	6
CON	21	11	NA	NA	NA	NA	NA	5
CON	21	12	NA	NA	NA	NA	NA	NA
CON	28	1	8.6	5.3	28.09	45.58	29.88	6
CON	28	2	8.2	6	36	49.2	37.55	6
CON	28	3	4.1	2.7	7.29	11.07	8.99	2
CON	28	4	9.3	5.8	33.64	53.94	35.27	7
CON	28	5	3.3	2.9	8.41	9.57	10.17	5
CON	28	6	5.9	4.6	21.16	27.14	23.08	7
CON	28	7	9.2	5.5	30.25	50.6	31.99	6
CON	28	8	8	5.2	27.04	41.6	28.86	8
CON	28	9	1.2	1	1	1.2	1.82	3
CON	28	10	5.5	4.4	19.36	24.2	21.29	5
CON	28	11	9.1	5.2	27.04	47.32	28.86	9
CON	28	12	11	6.4	40.96	70.4	42.33	6
CON	35	1	10.3	7	49	72.1	50.03	7
CON	35	2	10.5	6.5	42.25	68.25	43.57	7
CON	35	3	4	2.6	6.76	10.4	8.43	4
