amendment	time	plant_id	leaf_count	leaflength	leafwidth	WW	LW	leafarea
BSF	14	1	4	2.7	2.2	4.84	5.94	6.35
BSF	14	2	4	2.7	2.5	6.25	6.75	7.88
BSF	14	3	5	4.1	3.1	9.61	12.71	11.43
BSF	14	4	4	3.8	2.2	4.84	8.36	6.35
BSF	14	5	4	4	3	9	12	10.79
BSF	14	6	4	3	2.4	5.76	7.2	7.36
BSF	21	1	6	5.2	3.6	12.96	18.72	14.87
BSF	21	2	6	4.4	3.7	13.69	16.28	15.61
BSF	21	3	7	4.5	3.3	10.89	14.85	12.75
BSF	21	4	6	4.9	3.9	15.21	19.11	17.14
BSF	21	5	6	4.2	3	9	12.6	10.79
BSF	21	6	5	4.6	3.8	14.44	17.48	16.37
BSF	28	1	8	7.5	4.7	22.09	35.25	24.00
BSF	28	2	7	6.5	5.2	27.04	33.8	28.86
BSF	28	3	9	8.2	6.4	40.96	52.48	42.33
BSF	28	4	7	8.1	5.4	29.16	43.74	30.92
BSF	28	5	7	6.2	5.3	28.09	32.86	29.88
BSF	28	6	7	7	5.3	28.09	37.1	29.88
BSF	35	1	10	8.7	5.7	32.49	49.59	34.16
BSF	35	2	9	8.9	5.6	31.36	49.84	33.06
BSF	35	3	13	9.6	6	36	57.6	37.55
BSF	35	4	9	10	5.5	30.25	55	31.99
BSF	35	5	10	8.1	6.3	39.69	51.03	41.11
BSF	35	6	9	7.9	5.5	30.25	43.45	31.99
CON	14	1	4	2.4	2.4	5.76	5.76	7.36
CON	14	2	4	2.8	2.6	6.76	7.28	8.43
CON	14	3	4	3.5	3.2	10.24	11.2	12.08
CON	14	4	4	4.1	2.7	7.29	11.07	8.99
CON	14	5	4	2.2	2.2	4.84	4.84	6.35
CON	14	6	4	3.1	2.2	4.84	6.82	6.35
CON	21	1	5	5	3.1	9.61	15.5	11.43
CON	21	2	6	5.1	4	16	20.4	17.94
CON	21	3	6	6.3	4.3	18.49	27.09	20.43
CON	21	4	6	6.4	4.2	17.64	26.88	19.58
CON	21	5	5	4.8	3.4	11.56	16.32	13.44
CON	21	6	5	5.1	2.4	5.76	12.24	7.36
CON	28	1	7	7.8	5.1	26.01	39.78	27.85
CON	28	2	9	7.2	5.5	30.25	39.6	31.99
CON	28	3	8	8.7	6.2	38.44	53.94	39.91
CON	28	4	8	9.3	5.4	29.16	50.22	30.92
CON	28	5	8	7.5	4.5	20.25	33.75	22.18
CON	28	6	7	7.3	5	25	36.5	26.86
CON	35	1	10	9.1	5.8	33.64	52.78	35.27
CON	35	2	13	8.1	5.6	31.36	45.36	33.06
CON	35	3	9	10.8	6.6	43.56	71.28	44.82
CON	35	4	13	9.5	5.6	31.36	53.2	33.06
CON	35	5	10	11.4	5.4	29.16	61.56	30.92
CON	35	6	11	10.2	6	36	61.2	37.55
MWF	14	1	4	3.5	2.6	6.76	9.1	8.43
MWF	14	2	4	3.6	2.7	7.29	9.72	8.99
MWF	14	3	4	3.6	3	9	10.8	10.79
MWF	14	4	4	4.2	3.8	14.44	15.96	16.37
MWF	14	5	4	3.5	2	4	7	5.42
MWF	14	6	4	3.1	2.7	7.29	8.37	8.99
MWF	21	1	7	5.3	4	16	21.2	17.94
MWF	21	2	6	5.8	4.2	17.64	24.36	19.58
MWF	21	3	6	5.2	4.9	24.01	25.48	25.89
MWF	21	4	7	9.7	5.3	28.09	51.41	29.88
MWF	21	5	6	4.3	2.8	7.84	12.04	9.57
MWF	21	6	5	5.5	4.2	17.64	23.1	19.58
MWF	28	1	9	9	5.6	31.36	50.4	33.06
MWF	28	2	7	8.2	5.7	32.49	46.74	34.16
MWF	28	3	7	10.6	6.7	44.89	71.02	46.10
MWF	28	4	9	11.5	6.6	43.56	75.9	44.82
MWF	28	5	8	7.8	4.8	23.04	37.44	24.93
MWF	28	6	7	8.5	6	36	51	37.55
MWF	35	1	15	11.1	6.4	40.96	71.04	42.33
MWF	35	2	10	9.7	6.3	39.69	61.11	41.11
MWF	35	3	9	11	7.4	54.76	81.4	55.51
MWF	35	4	12	11.1	6.6	43.56	73.26	44.82
MWF	35	5	14	9	5.9	34.81	53.1	36.41
MWF	35	6	9	10.7	7.1	50.41	75.97	51.37
