amendment2	time2	trial2	plant_id2	leaflength2	leafwidth2	leafarea2
BSFF	21	2	1	4.4	3.7	15.61
BSFF	21	2	2	3.2	2.5	7.88
BSFF	21	2	3	3.5	2.7	8.99
BSFF	21	2	4	3.6	3.2	12.08
BSFF	21	2	5	4.2	2.2	6.35
BSFF	21	2	6	3.5	2.5	7.88
BSFF	21	2	7	3.1	2.6	8.43
BSFF	21	2	8	4	3	10.79
BSFF	21	2	9	4.5	4.1	18.75
BSFF	21	2	10	3.2	2.8	9.57
BSFF	21	2	11	2.9	2.4	7.36
BSFF	21	2	12	3.6	3.1	11.43
BSFF	21	2	13	3.1	2.5	7.88
BSFF	21	2	14	3.3	2.9	10.17
BSFF	21	2	15	2.6	2.2	6.35
BSFF	21	2	16	3.2	3	10.79
BSFF	21	2	17	3	2.4	7.36
BSFF	21	2	18	4	3.1	11.43
BSFF	21	2	19	4	3.2	12.08
BSFF	21	2	20	3.5	2.4	7.36
BSFF	21	2	21	4.5	3.5	14.14
BSFF	21	2	22	2.4	2.1	5.88
BSFF	21	2	23	3.6	2.6	8.43
BSFF	21	2	24	4.3	2.7	8.99
BSFF	21	2	25	4.1	3.4	13.44
BSFF	21	2	26	4.8	3.4	13.44
BSFF	21	2	27	4.2	3.1	11.43
BSFF	21	2	28	2.6	1.6	3.77
BSFF	21	2	29	4.8	3.8	16.37
BSFF	21	2	30	3.5	3.4	13.44
BSFF	28	2	1	7.5	5.2	28.86
BSFF	28	2	2	4.6	3.1	11.43
BSFF	28	2	3	3.9	3	10.79
BSFF	28	2	4	8.2	4.7	24.00
BSFF	28	2	5	5.2	3.6	14.87
BSFF	28	2	6	6	4.3	20.43
BSFF	28	2	7	7.5	4.4	21.29
BSFF	28	2	8	6.7	5	26.86
BSFF	28	2	9	9	6.2	39.91
BSFF	28	2	10	3.5	3	10.79
BSFF	28	2	11	3.2	2.3	6.84
BSFF	28	2	12	6.7	5.4	30.92
BSFF	28	2	13	3.5	2.7	8.99
BSFF	28	2	14	4.6	3.8	16.37
BSFF	28	2	15	4	3.2	12.08
BSFF	28	2	16	8.2	4.5	22.18
BSFF	28	2	17	5.6	4.3	20.43
BSFF	28	2	18	6.5	3.8	16.37
BSFF	28	2	19	6.3	5.1	27.85
BSFF	28	2	20	4.2	3.2	12.08
BSFF	28	2	21	6.6	5	26.86
BSFF	28	2	22	2.5	1.9	4.98
BSFF	28	2	23	6	3.5	14.14
BSFF	28	2	24	6.7	4.8	24.93
BSFF	28	2	25	7.8	5.5	31.99
BSFF	28	2	26	7.3	5.9	36.41
BSFF	28	2	27	8.8	6.1	38.72
BSFF	28	2	28	6.2	3.8	16.37
BSFF	28	2	29	8.3	6.6	44.82
BSFF	28	2	30	6.6	4.7	24.00
BSFF	35	2	1	9.9	5.9	36.41
BSFF	35	2	2	7.1	4	17.94
BSFF	35	2	3	5	3.3	12.75
BSFF	35	2	4	9.5	6	37.55
BSFF	35	2	5	8.5	4.1	18.75
BSFF	35	2	6	10.3	6	37.55
BSFF	35	2	7	10	5.2	28.86
BSFF	35	2	8	11.3	6.8	47.39
BSFF	35	2	9	12.5	7.5	56.93
BSFF	35	2	10	3.7	2.7	8.99
BSFF	35	2	11	4	2.3	6.84
BSFF	35	2	12	9.7	6.5	43.57
BSFF	35	2	13	4.8	3.3	12.75
BSFF	35	2	14	6.9	4.6	23.08
BSFF	35	2	15	5.8	4.1	18.75
BSFF	35	2	16	8	5	26.86
BSFF	35	2	17	8	5.9	36.41
BSFF	35	2	18	6.6	4	17.94
BSFF	35	2	19	11	6.5	43.57
BSFF	35	2	20	5.3	3.4	13.44
BSFF	35	2	21	8.1	6.1	38.72
BSFF	35	2	22	2.5	1.9	4.98
BSFF	35	2	23	9.7	6	37.55
BSFF	35	2	24	10	5.9	36.41
BSFF	35	2	25	10.7	6.6	44.82
BSFF	35	2	26	12.1	7.5	56.93
BSFF	35	2	27	10.7	7.7	59.81
BSFF	35	2	28	11.7	6.5	43.57
BSFF	35	2	29	14.5	8.2	67.33
BSFF	35	2	30	9.7	5.7	34.16
BSFF	42	2	1	9.3	6.3	41.11
BSFF	42	2	2	9.9	5	26.86
BSFF	42	2	3	6	3.7	15.61
BSFF	42	2	4	11	5.7	34.16
BSFF	42	2	5	11.5	5	26.86
BSFF	42	2	6	11.3	6.1	38.72
BSFF	42	2	7	12.3	6.5	43.57
BSFF	42	2	8	14	7.2	52.73
BSFF	42	2	9	11.9	7.4	55.51
BSFF	42	2	10	5.2	3.8	16.37
BSFF	42	2	11	4.3	2.2	6.35
BSFF	42	2	12	12.8	6.9	48.70
BSFF	42	2	13	8.7	5.1	27.85
BSFF	42	2	14	8.2	5.2	28.86
BSFF	42	2	15	10.2	5.7	34.16
BSFF	42	2	16	11	7.1	51.37
BSFF	42	2	17	9	4.7	24.00
BSFF	42	2	18	11.2	6.4	42.33
BSFF	42	2	19	7.6	3.8	16.37
BSFF	42	2	20	10.5	6.5	43.57
BSFF	42	2	21	10.2	5.2	28.86
BSFF	42	2	22	10.1	6.5	43.57
