amendment	time	trial	plant_id	leaflength	leafwidth	leafarea
BSF	21	1	1	6.3	4.9	25.8869205
BSF	21	1	2	2.2	1.6	3.767664
BSF	21	1	3	3.3	2	5.41946
BSF	21	1	4	2.1	1.6	3.767664
BSF	21	1	5	3	1.9	4.9798905
BSF	21	1	6	3	1.9	4.9798905
BSF	21	1	7	3.9	2.6	8.429564
BSF	21	1	8	3	2.2	6.35184
BSF	21	1	9	2.5	2.2	6.35184
BSF	21	1	10	2.5	1.8	4.558068
BSF	21	1	11	1.8	1.3	2.7151605
BSF	21	1	12	1.8	1.2	2.39982
BSF	21	1	13	3.8	2	5.41946
BSF	21	1	14	3.6	1.9	4.9798905
BSF	21	1	15	2.7	2	5.41946
BSF	21	1	16	2.7	1.6	3.767664
BSF	21	1	17	2.5	1.8	4.558068
BSF	21	1	18	4.1	3	10.79124
BSF	21	1	19	5.7	4.5	22.1764725
BSF	21	1	20	4.2	3.1	11.4260265
BSF	21	1	21	4.4	2.5	7.8835125
BSF	21	1	22	3.5	2.3	6.8446505
BSF	21	1	23	3.3	2.5	7.8835125
BSF	21	1	24	3.6	2.8	9.574908
BSF	28	1	1	8.6	6.2	39.90692
BSF	28	1	2	3.4	2	5.41946
BSF	28	1	3	2.5	1.6	3.767664
BSF	28	1	4	2.2	1.2	2.39982
BSF	28	1	5	2	1.6	3.767664
BSF	28	1	6	3.3	2.1	5.8767765
BSF	28	1	7	3	2	5.41946
BSF	28	1	8	2.9	1.9	4.9798905
BSF	28	1	9	4.2	2.9	10.1742005
BSF	28	1	10	7.1	4.8	24.932688
BSF	28	1	11	5.3	4	17.93772
BSF	28	1	12	2.5	1.7	4.1539925
BSF	28	1	13	1.9	1.3	2.7151605
BSF	28	1	14	2.2	1.3	2.7151605
BSF	28	1	15	3.7	2.6	8.429564
BSF	28	1	16	5.5	3.6	14.866164
BSF	28	1	17	2.3	1.5	3.3990825
BSF	28	1	18	2.3	1.7	4.1539925
BSF	28	1	19	1.6	1.4	3.048248
BSF	28	1	20	8.1	4.8	24.932688
BSF	28	1	21	8	5.6	33.063464
BSF	28	1	22	2.2	1.4	3.048248
BSF	28	1	23	6	4.2	19.57998
BSF	28	1	24	5.9	3.5	14.1426425
BSF	28	1	25	1.7	1.2	2.39982
BSF	28	1	26	3.5	2.1	5.8767765
BSF	28	1	27	4.5	3.3	12.7488405
BSF	28	1	28	6.5	4	17.93772
BSF	35	1	1	10	6	37.55478
BSF	35	1	2	7.6	4.9	25.8869205
BSF	35	1	3	3.3	1.3	2.7151605
BSF	35	1	4	2.6	1.4	3.048248
BSF	35	1	5	4.6	3.1	11.4260265
BSF	35	1	6	2.7	2	5.41946
BSF	35	1	7	6.1	4.4	21.293228
BSF	35	1	8	6	3.4	13.436868
BSF	35	1	9	3.9	2	5.41946
BSF	35	1	10	8	4.7	23.9962025
BSF	35	1	11	9.9	6	37.55478
BSF	35	1	12	5.7	4.2	19.57998
BSF	35	1	13	2.3	1.3	2.7151605
BSF	35	1	14	2.5	1.6	3.767664
BSF	35	1	15	3	1.6	3.767664
BSF	35	1	16	4.7	3.1	11.4260265
BSF	35	1	17	10	5.2	28.8561
BSF	35	1	18	3.8	2.5	7.8835125
BSF	35	1	19	3.6	2	5.41946
BSF	35	1	20	3.2	2	5.41946
BSF	35	1	21	2.6	1.9	4.9798905
BSF	35	1	22	12	5.9	36.4053305
BSF	35	1	23	13.4	7	50.02536
BSF	35	1	24	2.5	1.6	3.767664
BSF	35	1	25	10	5.9	36.4053305
BSF	35	1	26	10.3	4.3	20.4277305
BSF	35	1	27	4.8	2.1	5.8767765
BSF	35	1	28	9.5	5.6	33.063464
BSF	35	1	29	10.9	6	37.55478
BSF	42	1	1	14.2	6.4	42.330048
BSF	42	1	2	7.2	3	10.79124
BSF	42	1	3	5.9	3.8	16.366448
BSF	42	1	4	8.3	4.5	22.1764725
BSF	42	1	5	4.5	3	10.79124
BSF	42	1	6	7.9	4.7	23.9962025
BSF	42	1	7	7.5	3.9	17.1432105
BSF	42	1	8	8.3	4.5	22.1764725
BSF	42	1	9	11.1	6.1	38.7219765
BSF	42	1	10	8.4	5.4	30.924288
BSF	42	1	11	3.4	1.9	4.9798905
BSF	42	1	12	6	3.1	11.4260265
BSF	42	1	13	4.9	3.4	13.436868
BSF	42	1	14	8.9	5.8	35.273628
BSF	42	1	15	10.3	6	37.55478
BSF	42	1	16	6.7	5.1	27.8486265
BSF	42	1	17	9.5	4	17.93772
BSF	42	1	18	4.9	3.4	13.436868
BSF	42	1	19	4.5	3	10.79124
BSF	42	1	20	4.7	2.2	6.35184
CON	21	1	1	6.2	4.5	22.1764725
CON	21	1	2	6.5	4.6	23.077464
CON	21	1	3	3.5	2.5	7.8835125
CON	21	1	4	3.2	2.2	6.35184
CON	21	1	5	8.1	5.7	34.1596725
CON	21	1	6	7	5.1	27.8486265
CON	21	1	7	5.2	4.2	19.57998
CON	21	1	8	4.8	3.6	14.866164
CON	21	1	9	4	2.2	6.35184
CON	21	1	10	5.5	4.7	23.9962025
CON	21	1	11	4.8	3.2	12.07856
CON	21	1	12	5	4.2	19.57998
CON	21	1	13	7.2	4.4	21.293228
CON	21	1	14	2.5	1.3	2.7151605
CON	21	1	15	6.1	4	17.93772
CON	21	1	16	6	4.2	19.57998
CON	21	1	17	3.9	3	10.79124
CON	21	1	18	3.3	2.6	8.429564
CON	21	1	19	2.5	1.7	4.1539925
CON	21	1	20	5.7	3.8	16.366448
CON	21	1	21	4.8	3.1	11.4260265
CON	21	1	22	2	1.4	3.048248
CON	21	1	23	4.2	3	10.79124
CON	21	1	24	3.7	2.9	10.1742005
CON	21	1	25	3.3	2.8	9.574908
CON	21	1	26	3	2.1	5.8767765
CON	21	1	27	3.6	3.2	12.07856
CON	21	1	28	4.8	3.9	17.1432105
CON	21	1	29	3.9	2.8	9.574908
CON	21	1	30	3.1	2.4	7.355208
CON	28	1	1	10	6.5	43.5682325
CON	28	1	2	10.8	7.1	51.3700265
CON	28	1	3	8.1	5.3	29.8813205
CON	28	1	4	6.1	3.8	16.366448
CON	28	1	5	13.2	9.3	85.4426805
CON	28	1	6	14	7.7	59.8107125
CON	28	1	7	8.9	7	50.02536
CON	28	1	8	9.1	6.2	39.90692
CON	28	1	9	9.5	4.7	23.9962025
CON	28	1	10	12	7.5	56.9261625
CON	28	1	11	8.6	5.5	31.9850025
CON	28	1	12	9	6	37.55478
CON	28	1	13	11.5	7.2	52.73244
CON	28	1	14	6.1	4.5	22.1764725
CON	28	1	15	10.3	6.6	44.824164
CON	28	1	16	12	8.5	72.0587925
CON	28	1	17	8	6	37.55478
CON	28	1	18	6.1	4.9	25.8869205
CON	28	1	19	7.1	5	26.8589
CON	28	1	20	9.2	6.8	47.389268
CON	28	1	21	9.1	6.5	43.5682325
CON	28	1	22	5	4.4	21.293228
CON	28	1	23	8.1	5.7	34.1596725
CON	28	1	24	4.1	3.1	11.4260265
CON	28	1	25	8.2	6.3	41.1096105
CON	28	1	26	7.3	5.7	34.1596725
CON	28	1	27	8.8	6.5	43.5682325
CON	28	1	28	7.2	5.7	34.1596725
CON	28	1	29	6.9	5.8	35.273628
CON	28	1	30	5.5	3.2	12.07856
CON	35	1	1	12.2	6.5	43.5682325
CON	35	1	2	12.6	6.7	46.0978425
CON	35	1	3	14	6.8	47.389268
CON	35	1	4	8.4	5.2	28.8561
CON	35	1	5	17.3	9.2	83.70758
CON	35	1	6	16.1	7.7	59.8107125
CON	35	1	7	15	8	64.27064
CON	35	1	8	12.3	8.5	72.0587925
CON	35	1	9	14.4	8	64.27064
CON	35	1	10	13.5	8.2	67.33266
CON	35	1	11	10.8	5.9	36.4053305
CON	35	1	12	12.6	7	50.02536
CON	35	1	13	13.4	7.2	52.73244
CON	35	1	14	11.7	7.2	52.73244
CON	35	1	15	15.6	7	50.02536
CON	35	1	16	16	9	80.29062
CON	35	1	17	14.5	7.3	54.1126005
CON	35	1	18	11.9	7.2	52.73244
CON	35	1	19	12.2	6.7	46.0978425
CON	35	1	20	12.3	7.2	52.73244
CON	35	1	21	11.1	7.2	52.73244
CON	35	1	22	8.2	4.5	22.1764725
CON	35	1	23	12.2	6.1	38.7219765
CON	35	1	24	6	4	17.93772
CON	35	1	25	10.5	8	64.27064
CON	35	1	26	12	7.7	59.8107125
CON	35	1	27	14.2	7.9	62.7662505
CON	35	1	28	11.5	7	50.02536
CON	35	1	29	15.9	8	64.27064
CON	35	1	30	11.8	6	37.55478
