amendment2	time2	trial2	plant_id2	no_leaves2
BSFF	21	2	1	5
BSFF	21	2	2	4
BSFF	21	2	3	5
BSFF	21	2	4	4
BSFF	21	2	5	5
BSFF	21	2	6	4
BSFF	21	2	7	4
BSFF	21	2	8	4
BSFF	21	2	9	5
BSFF	21	2	10	4
BSFF	21	2	11	4
BSFF	21	2	12	5
BSFF	21	2	13	4
BSFF	21	2	14	4
BSFF	21	2	15	5
BSFF	21	2	16	4
BSFF	21	2	17	5
BSFF	21	2	18	5
BSFF	21	2	19	4
BSFF	21	2	20	4
BSFF	21	2	21	5
BSFF	21	2	22	4
BSFF	21	2	23	4
BSFF	21	2	24	4
BSFF	21	2	25	4
BSFF	21	2	26	4
BSFF	21	2	27	5
BSFF	21	2	28	5
BSFF	21	2	29	4
BSFF	21	2	30	5
BSFF	28	2	1	6
BSFF	28	2	2	4
BSFF	28	2	3	5
BSFF	28	2	4	4
BSFF	28	2	5	5
BSFF	28	2	6	5
BSFF	28	2	7	6
BSFF	28	2	8	5
BSFF	28	2	9	5
BSFF	28	2	10	5
BSFF	28	2	11	5
BSFF	28	2	12	6
BSFF	28	2	13	6
BSFF	28	2	14	5
BSFF	28	2	15	6
BSFF	28	2	16	5
BSFF	28	2	17	6
BSFF	28	2	18	5
BSFF	28	2	19	5
BSFF	28	2	20	5
BSFF	28	2	21	6
BSFF	28	2	22	4
BSFF	28	2	23	5
BSFF	28	2	24	5
BSFF	28	2	25	6
BSFF	28	2	26	6
BSFF	28	2	27	6
BSFF	28	2	28	7
BSFF	28	2	29	5
BSFF	28	2	30	6
BSFF	35	2	1	7
BSFF	35	2	2	5
BSFF	35	2	3	6
BSFF	35	2	4	6
BSFF	35	2	5	7
BSFF	35	2	6	6
BSFF	35	2	7	7
BSFF	35	2	8	7
BSFF	35	2	9	6
BSFF	35	2	10	5
BSFF	35	2	11	5
BSFF	35	2	12	7
BSFF	35	2	13	6
BSFF	35	2	14	6
BSFF	35	2	15	7
BSFF	35	2	16	6
BSFF	35	2	17	7
BSFF	35	2	18	5
BSFF	35	2	19	6
BSFF	35	2	20	5
BSFF	35	2	21	6
BSFF	35	2	22	4
BSFF	35	2	23	6
BSFF	35	2	24	7
BSFF	35	2	25	7
BSFF	35	2	26	7
BSFF	35	2	27	7
BSFF	35	2	28	8
BSFF	35	2	29	7
BSFF	35	2	30	7
BSFF	42	2	1	8
BSFF	42	2	2	6
BSFF	42	2	3	7
BSFF	42	2	4	8
BSFF	42	2	5	8
BSFF	42	2	6	7
BSFF	42	2	7	8
BSFF	42	2	8	8
BSFF	42	2	9	8
BSFF	42	2	10	6
BSFF	42	2	11	6
BSFF	42	2	12	9
BSFF	42	2	13	8
BSFF	42	2	14	8
BSFF	42	2	15	7
BSFF	42	2	16	9
BSFF	42	2	17	6
BSFF	42	2	18	8
BSFF	42	2	19	6
BSFF	42	2	20	8
BSFF	42	2	21	4
BSFF	42	2	22	7
BSFF	42	2	23	9
BSFF	42	2	24	9
BSFF	42	2	25	8
BSFF	42	2	26	9
BSFF	42	2	27	10
BSFF	42	2	28	8
BSFF	42	2	29	8
MWF	21	2	1	5
MWF	21	2	2	4
MWF	21	2	3	5
MWF	21	2	4	4
MWF	21	2	5	4
MWF	21	2	6	5
MWF	21	2	7	4
MWF	21	2	8	5
MWF	21	2	9	5
MWF	21	2	10	5
MWF	21	2	11	5
MWF	21	2	12	4
