amendment2	trial2	days2	pupae2	flies2	percent_per_day2
BSFF	2	8	29	1	3.45
BSFF	2	9	28	2	7.14
BSFF	2	10	26	4	15.38
BSFF	2	9	22	2	9.09
BSFF	2	10	20	1	5.00
BSFF	2	12	19	1	5.26
BSFF	2	14	18	5	27.78
BSFF	2	13	13	2	15.38
BSFF	2	14	11	4	36.36
MWF	2	8	51	1	1.96
MWF	2	9	50	5	10.00
MWF	2	10	45	10	22.22
MWF	2	9	35	2	5.71
MWF	2	12	33	6	18.18
MWF	2	11	27	2	7.41
MWF	2	14	25	5	20.00
MWF	2	13	20	5	25.00
MWF	2	15	15	1	6.67
MWF	2	14	14	4	28.57
NoFrass	2	8	45	1	2.22
NoFrass	2	9	44	2	4.55
NoFrass	2	8	42	1	2.38
NoFrass	2	10	41	5	12.20
NoFrass	2	9	36	2	5.56
NoFrass	2	12	34	6	17.65
NoFrass	2	11	28	7	25.00
NoFrass	2	14	21	4	19.05
NoFrass	2	13	17	4	23.53
NoFrass	2	15	13	1	7.69
NoFrass	2	14	12	2	16.67
