amendment1	trial1	plant_id1	larvae1	pupae1	tot_larv_pupa1	neonates	survival
BSFF	1	1	1	7	8	10	80
BSFF	1	2	1	2	3	10	30
BSFF	1	3	1	3	4	10	40
BSFF	1	4	1	9	10	10	100
BSFF	1	5	1	0	1	10	10
BSFF	1	6	0	0	0	10	0
BSFF	1	7	2	8	10	10	100
BSFF	1	8	0	10	10	10	100
BSFF	1	9	2	1	3	10	30
BSFF	1	10	0	0	0	10	0
MWF	1	1	0	6	6	10	60
MWF	1	2	0	10	10	10	100
MWF	1	3	1	5	6	10	60
MWF	1	4	0	1	1	10	10
MWF	1	5	0	6	6	10	60
MWF	1	6	1	5	6	10	60
MWF	1	7	0	10	10	10	100
MWF	1	8	0	10	10	10	100
MWF	1	9	0	7	7	10	70
MWF	1	10	1	5	6	10	60
NoFrass	1	1	0	7	7	10	70
NoFrass	1	2	0	2	2	10	20
NoFrass	1	3	1	4	5	10	50
NoFrass	1	4	0	8	8	10	80
NoFrass	1	5	0	8	8	10	80
NoFrass	1	6	0	7	7	10	70
NoFrass	1	7	0	1	1	10	10
NoFrass	1	8	0	7	7	10	70
NoFrass	1	9	0	7	7	10	70
NoFrass	1	10	1	6	7	10	70
