amendment2	trial2	plant_id2	larvae2	pupae2	tot_larv_pupa2
BSFF	2	1	0	0	0
BSFF	2	2	1	2	3
BSFF	2	3	0	4	4
BSFF	2	4	0	3	3
BSFF	2	5	3	3	6
BSFF	2	6	0	8	8
BSFF	2	7	0	2	2
BSFF	2	8	0	0	0
BSFF	2	9	0	3	3
BSFF	2	10	3	4	7
MWF	2	1	0	8	8
MWF	2	2	0	8	8
MWF	2	3	3	7	10
MWF	2	4	0	7	7
MWF	2	5	1	5	6
MWF	2	6	1	4	5
MWF	2	7	0	2	2
MWF	2	8	3	2	5
MWF	2	9	0	2	2
MWF	2	10	0	6	6
NoFrass	2	1	0	3	3
NoFrass	2	2	3	1	4
NoFrass	2	3	0	8	8
NoFrass	2	4	0	5	5
NoFrass	2	5	0	3	3
NoFrass	2	6	0	7	7
NoFrass	2	7	0	2	2
NoFrass	2	8	0	6	6
NoFrass	2	9	0	4	4
NoFrass	2	10	0	6	6
