amendment1	trial1	sample1	pupalweight1
BSFF	1	1	9.14
BSFF	1	2	8.86
BSFF	1	3	8.79
BSFF	1	4	7.86
BSFF	1	5	9.96
BSFF	1	6	8.49
BSFF	1	7	9.44
BSFF	1	8	13.11
BSFF	1	9	11.11
BSFF	1	10	5.28
BSFF	1	11	6.19
BSFF	1	12	6.69
BSFF	1	13	6.65
BSFF	1	14	9.02
BSFF	1	15	5.63
BSFF	1	16	6.12
BSFF	1	17	6.11
BSFF	1	18	5.30
BSFF	1	19	5.01
BSFF	1	20	4.87
BSFF	1	21	4.69
BSFF	1	22	9.74
BSFF	1	23	9.27
BSFF	1	24	10.91
BSFF	1	25	9.10
BSFF	1	26	10.21
BSFF	1	27	10.88
BSFF	1	28	7.23
BSFF	1	29	9.60
BSFF	1	30	4.81
BSFF	1	31	8.13
BSFF	1	32	6.35
BSFF	1	33	6.62
BSFF	1	34	6.81
BSFF	1	35	7.87
BSFF	1	36	6.78
BSFF	1	37	6.47
BSFF	1	38	6.87
BSFF	1	39	8.35
BSFF	1	40	1.00
MWF	1	1	11.42
MWF	1	2	13.49
MWF	1	3	11.76
MWF	1	4	11.30
MWF	1	5	15.41
MWF	1	6	10.68
MWF	1	7	11.70
MWF	1	8	11.71
MWF	1	9	9.82
MWF	1	10	10.33
MWF	1	11	11.52
MWF	1	12	12.14
MWF	1	13	10.82
MWF	1	14	11.88
MWF	1	15	10.54
MWF	1	16	8.52
MWF	1	17	12.18
MWF	1	18	12.31
MWF	1	19	12.18
MWF	1	20	13.57
MWF	1	21	11.80
MWF	1	22	10.05
MWF	1	23	10.70
MWF	1	24	10.54
MWF	1	25	11.39
MWF	1	26	10.67
MWF	1	27	10.68
MWF	1	28	10.15
MWF	1	29	10.76
MWF	1	30	9.71
MWF	1	31	10.63
MWF	1	32	11.96
MWF	1	33	11.03
MWF	1	34	10.17
MWF	1	35	11.11
MWF	1	36	10.35
MWF	1	37	10.67
MWF	1	38	10.58
MWF	1	39	9.84
MWF	1	40	9.94
MWF	1	41	9.90
MWF	1	42	10.66
MWF	1	43	9.35
MWF	1	44	11.69
MWF	1	45	13.03
MWF	1	46	10.58
MWF	1	47	11.82
MWF	1	48	9.10
MWF	1	49	11.45
MWF	1	50	9.82
MWF	1	51	11.31
MWF	1	52	12.15
MWF	1	53	10.91
MWF	1	54	8.66
MWF	1	55	8.65
MWF	1	56	8.22
MWF	1	57	10.84
MWF	1	58	8.88
MWF	1	59	7.15
MWF	1	60	8.76
MWF	1	61	8.82
MWF	1	62	12.97
MWF	1	63	9.82
MWF	1	64	10.63
MWF	1	65	10.98
NoFrass	1	1	11.36
NoFrass	1	2	11.04
NoFrass	1	3	7.75
NoFrass	1	4	11.37
NoFrass	1	5	10.89
NoFrass	1	6	10.23
NoFrass	1	7	8.86
NoFrass	1	8	10.23
NoFrass	1	9	9.95
NoFrass	1	10	12.56
NoFrass	1	11	8.48
NoFrass	1	12	10.19
NoFrass	1	13	6.64
NoFrass	1	14	12.49
NoFrass	1	15	12.93
NoFrass	1	16	11.06
NoFrass	1	17	11.48
NoFrass	1	18	9.46
NoFrass	1	19	10.62
NoFrass	1	20	13.31
NoFrass	1	22	7.75
NoFrass	1	23	9.97
NoFrass	1	24	7.75
NoFrass	1	25	8.81
NoFrass	1	26	7.61
NoFrass	1	27	8.50
NoFrass	1	28	7.94
NoFrass	1	29	7.04
NoFrass	1	30	9.48
NoFrass	1	31	10.53
NoFrass	1	32	8.27
NoFrass	1	33	9.12
NoFrass	1	34	10.48
NoFrass	1	35	9.78
NoFrass	1	36	10.64
NoFrass	1	37	9.32
NoFrass	1	38	8.55
NoFrass	1	39	8.51
NoFrass	1	40	7.74
NoFrass	1	41	12.42
NoFrass	1	42	8.84
NoFrass	1	43	7.84
NoFrass	1	44	7.79
NoFrass	1	45	10.24
NoFrass	1	46	9.48
NoFrass	1	47	9.02
NoFrass	1	48	9.36
NoFrass	1	49	10.17
NoFrass	1	50	10.94
NoFrass	1	51	8.10
NoFrass	1	52	9.46
NoFrass	1	53	8.13
NoFrass	1	54	5.65
NoFrass	1	55	8.52
NoFrass	1	56	8.99
NoFrass	1	57	6.67
