amendment2	trial2	sample2	pupalweight2	
BSFF	2	1	13.46	
BSFF	2	2	14.94	
BSFF	2	3	12.06	
BSFF	2	4	10.26	
BSFF	2	5	9.55	
BSFF	2	6	11.25	
BSFF	2	7	10.86	
BSFF	2	8	11.33	
BSFF	2	9	12.92	
BSFF	2	10	6.20	
BSFF	2	11	4.91	
BSFF	2	12	5.31	
BSFF	2	13	3.21	
BSFF	2	14	8.39	
BSFF	2	15	8.54	
BSFF	2	16	9.51	
BSFF	2	17	8.35	
BSFF	2	18	9.76	
BSFF	2	19	8.36	
BSFF	2	20	7.08	
BSFF	2	21	11.55	
BSFF	2	22	11.00	
BSFF	2	23	9.81	
BSFF	2	24	11.76	
BSFF	2	25	11.72	
BSFF	2	26	12.24	
BSFF	2	27	10.50	
BSFF	2	28	14.73	
MWF	2	1	10.50	
MWF	2	2	9.14	
MWF	2	3	10.40	
MWF	2	4	9.35	
MWF	2	5	9.15	
MWF	2	6	8.89	
MWF	2	7	12.37	
MWF	2	8	8.95	
MWF	2	9	9.48	
MWF	2	10	10.08	
MWF	2	11	9.43	
MWF	2	12	10.94	
MWF	2	13	10.76	
MWF	2	14	10.07	
MWF	2	15	9.00	
MWF	2	16	8.40	
MWF	2	17	12.91	
MWF	2	18	10.11	
MWF	2	19	12.94	
MWF	2	20	11.64	
MWF	2	21	10.30	
MWF	2	22	11.11	
MWF	2	23	12.07	
MWF	2	24	10.70	
MWF	2	25	13.75	
MWF	2	26	11.25	
MWF	2	27	11.82	
MWF	2	28	11.35	
MWF	2	29	10.79	
MWF	2	30	10.43	
MWF	2	31	11.43	
MWF	2	32	10.54	
MWF	2	33	11.01	
MWF	2	34	10.20	
MWF	2	35	9.99	
MWF	2	36	10.29	
MWF	2	37	11.34	
MWF	2	38	11.92	
MWF	2	39	9.79	
MWF	2	40	11.02	
MWF	2	41	10.71	
MWF	2	42	13.79	
MWF	2	43	16.73	
MWF	2	44	13.75	
MWF	2	45	12.73	
MWF	2	46	9.99	
MWF	2	47	9.75	
MWF	2	48	11.67	
MWF	2	49	10.37	
MWF	2	50	12.54	
MWF	2	51	12.61	
NoFrass	2	1	11.93	
NoFrass	2	2	11.49	
NoFrass	2	3	12.06	
NoFrass	2	4	10.23	
NoFrass	2	5	10.80	
NoFrass	2	6	9.60	
NoFrass	2	7	10.21	
NoFrass	2	8	10.77	
NoFrass	2	9	10.04	
NoFrass	2	10	11.93	
NoFrass	2	11	11.28	
NoFrass	2	12	8.16	
NoFrass	2	13	13.00	
NoFrass	2	14	12.16	
NoFrass	2	15	14.55	
NoFrass	2	16	14.86	
NoFrass	2	17	11.60	
NoFrass	2	18	12.00	
NoFrass	2	19	11.45	
NoFrass	2	20	6.43	
NoFrass	2	21	12.20	
NoFrass	2	22	9.49	
NoFrass	2	23	9.46	
NoFrass	2	24	12.39	
NoFrass	2	25	7.77	
NoFrass	2	26	9.58	
NoFrass	2	27	8.87	
NoFrass	2	28	13.93	
NoFrass	2	29	13.50	
NoFrass	2	30	10.55	
NoFrass	2	31	11.01	
NoFrass	2	32	10.74	
NoFrass	2	33	9.57	
NoFrass	2	34	7.73	
NoFrass	2	35	10.26	
NoFrass	2	36	10.25	
NoFrass	2	37	10.49	
NoFrass	2	38	12.31	
NoFrass	2	39	12.05	
NoFrass	2	40	11.28	
NoFrass	2	41	14.51	
NoFrass	2	42	12.07	
NoFrass	2	43	10.63	
NoFrass	2	44	11.17	
NoFrass	2	45	6.67	
