Frass	treatment	days						
BSFF	composted	54						
BSFF	composted	48						
BSFF	composted	41						
BSFF	composted	54						
BSFF	composted	53						
BSFF	composted	44						
BSFF	composted	47						
BSFF	composted	59						
BSFF	composted	48						
BSFF	composted	53						
BSFF	incubated	41						
BSFF	incubated	54						
BSFF	incubated	45						
BSFF	raw	58						
BSFF	raw	89						
BSFF	raw	86						
BSFF	raw	82						
BSFF	raw	93						
BSFF	raw	79						
BSFF	raw	66						
BSFF	raw	60						
BSFF	raw	62						
MWF	composted	52						
MWF	composted	50						
MWF	composted	41						
MWF	composted	46						
MWF	composted	53						
MWF	composted	46						
MWF	composted	54						
MWF	incubated	38						
MWF	incubated	55						
MWF	incubated	37						
MWF	incubated	54						
MWF	raw	81						
MWF	raw	67						
MWF	raw	72						
MWF	raw	53						
MWF	raw	74						 
MWF	raw	74						
MWF	raw	53						
MWF	raw	69						
MWF	raw	50						
MWF	raw	67						
MWF	raw	65						
NoFrass	raw	50						
NoFrass	raw	53						
NoFrass	raw	41						
NoFrass	raw	44						
NoFrass	raw	35						
NoFrass	raw	58						
NoFrass	raw	41						
NoFrass	raw	50						
NoFrass	raw	42						
NoFrass	raw	54						
NoFrass	raw	67						
NoFrass	raw	74						
NoFrass	raw	81						
NoFrass	raw	78						
NoFrass	raw	66						
NoFrass	raw	57						
NoFrass	raw	66						
NoFrass	raw	65						
NoFrass	raw	75						
NoFrass	raw	50						
NoFrass	raw	75						
NoFrass	raw	69						
