amendment1	trial1	plant_id1	pupae1	neonates	survival
BSFF	1	1	2	10	20
BSFF	1	2	10	10	100
BSFF	1	3	2	10	20
BSFF	1	4	2	10	20
BSFF	1	5	2	10	20
BSFF	1	6	1	10	10
BSFF	1	7	4	10	40
BSFF	1	8	0	10	0
BSFF	1	9	3	10	30
BSFF	1	10	0	10	0
MWF	1	1	6	10	60
MWF	1	2	6	10	60
MWF	1	3	6	10	60
MWF	1	4	5	10	50
MWF	1	5	5	10	50
MWF	1	6	6	10	60
MWF	1	7	8	10	80
MWF	1	8	6	10	60
MWF	1	9	4	10	40
MWF	1	10	6	10	60
NoFrass	1	1	3	10	30
NoFrass	1	2	7	10	70
NoFrass	1	3	2	10	20
NoFrass	1	4	3	10	30
NoFrass	1	5	3	10	30
NoFrass	1	6	1	10	10
NoFrass	1	7	6	10	60
NoFrass	1	8	6	10	60
NoFrass	1	9	4	10	40
NoFrass	1	10	2	10	20
