amendment2	trial2	plant_id2	pupae2	neonates	survival			
BSFF	2	1	4	10	40			
BSFF	2	2	8	10	80			
BSFF	2	3	5	10	50			
BSFF	2	4	7	10	70			
BSFF	2	5	8	10	80			
BSFF	2	6	7	10	70			
BSFF	2	7	5	10	50			
BSFF	2	8	5	10	50			
BSFF	2	9	5	10	50			
BSFF	2	10	1	10	10			
MWF	2	1	4	10	40			
MWF	2	2	7	10	70			
MWF	2	3	7	10	70			
MWF	2	4	4	10	40			
MWF	2	5	6	10	60			
MWF	2	6	9	10	90			
MWF	2	7	5	10	50			
MWF	2	8	6	10	60			
MWF	2	9	6	10	60			
MWF	2	10	6	10	60			
NoFrass	2	1	4	10	40			
NoFrass	2	2	4	10	40			
NoFrass	2	3	6	10	60			
NoFrass	2	4	6	10	60			
NoFrass	2	5	4	10	40			
NoFrass	2	6	6	10	60			
NoFrass	2	7	5	10	50			
NoFrass	2	8	7	10	70			
NoFrass	2	9	5	10	50			
NoFrass	2	10	5	10	50			
